sta,est,lon,lat,Dist.Thames,Dist.Scheldt,Dist.Meuse,Dist.Channel,UW_Salinity,UW_Temperature,UW_RelativeHumidity,UW_WindDirection,UW_WindSpeed,Nutr_NO2,Nutr_SiO2,Zoopl_Appendicularia,Zoopl_Branchiopoda,Zoopl_Calanoidea,Zoopl_Chaetognatha,Zoopl_Cumacea,Zoopl_Echinodermata,Zoopl_Harpacticoida,Zoopl_Noctiluca
2,Scheldt,2.6989522,51.1849527,2.140727846,0.826785314,1.567017291,1.950711886,32.588,11.8135,88,14.5,11.97,0.17,7.71,204.8,0,969.6,3.2,1.6,12.8,0,3268.8
3,Scheldt,2.1977093,51.0981638,1.665440309,1.331937956,2.048843013,1.457703851,34.223,11.4353,81,11,13.66,0.04,2.16,0,0,1056,1.523809524,7.619047619,3.047619048,0,1897.142857
5,Scheldt,1.902171,51.0120288,1.408031271,1.639726653,2.352731652,1.155934889,34.295,11.4942,82,23,12.88,0.03,2.1,1.523809524,0,641.5238095,6.095238095,0,6.095238095,12.19047619,518.0952381
6,Channel,1.4943462,50.8380575,1.127844107,2.079921858,2.795946662,0.716429874,34.281,11.5473,83,29.9,5.9,0.07,2.27,1,0,125.6666667,0,0,0.333333333,1,3
13,Channel,1.4990263,50.588467,1.293686413,2.161803161,2.904401218,0.622724217,34.333,11.5092,82,36.1,9.42,0.03,1.78,1.6,0,159.2,0,1.6,14.4,0,0
7,Channel,1.5201343,50.4908703,1.378538272,2.183354033,2.934918837,0.62965755,33.961,11.7042,82,8.6,7.48,0.01,0.66,48,4.571428571,1115.428571,2.285714286,4.571428571,114.2857143,2.285714286,0
11,Channel,1.062474,50.5748432,1.043193886,2.57294587,3.298677906,0.211169089,34.782,11.0742,75,47,9.93,0.02,1.32,12.30769231,0,409.8461538,0,0,9.846153846,7.384615385,0
10,Channel,0.8800673,50.702759,0.851838153,2.707380422,3.413482822,0.252495345,34.94,10.8981,84,16.6,7.42,0.02,0.78,0,0,513.1851852,2.37037037,0,61.62962963,22.51851852,14.22222222
9,Channel,0.8973595,50.8800283,0.69627982,2.647260628,3.333868069,0.42952967,34.75,11.1824,73,65.4,6.28,0.07,0.95,1.923076923,0,34.69230769,0,0,0.307692308,13.76923077,54.61538462
15,Channel,1.0489045,50.9413202,0.728801531,2.486264196,3.170548688,0.515326463,34.654,11.1233,74,69.9,6.26,0.11,0.44,4.571428571,0,224.7619048,0,0,0,34.28571429,181.3333333
16,Channel,1.1892878,51.0542842,0.753961831,2.327311915,3.001107563,0.673074987,34.446,11.1426,74,85.8,8.18,0.17,0.43,0,0,242.2857143,1.523809524,0,0,38.0952381,540.952381
21,Thames,1.4250008,51.1325458,0.920191685,2.082121183,2.752741918,0.865721559,34.39,11.0484,75,48.4,5.63,0.15,0.4,12,0,50.22222222,1.333333333,0,4,26.66666667,981.3333333
20,Channel,1.5574268,51.0627438,1.069539345,1.963741367,2.651232901,0.90437746,34.677,11.0399,73,43.7,4.94,0.09,0.54,26.35294118,0,484.7058824,0.31372549,0,1.568627451,3.137254902,24.47058824
17,Channel,1.376707,50.9243428,0.981955321,2.170337573,2.869944899,0.677980623,34.72,11.0848,69,53.2,6.4,0.08,0.6,7.5,0,478,1.5,0.5,1,9.5,13.5
14,Channel,1.2733055,50.7719275,1.004686844,2.31063901,3.024651172,0.49886118,34.775,11.0934,71,35.4,8.96,0.05,0.85,17.6,0,884.8,2.4,0,0.8,8.8,84
8,Channel,1.1866715,50.6747843,1.023749949,2.422796729,3.143710721,0.370478938,34.802,11.0986,72,42.1,9.91,0.01,0.91,5.12,0,989.44,0,0,55.04,2.56,7.68
24,Channel,1.8649327,51.2045545,1.317014696,1.636369193,2.313581367,1.231093436,34.584,11.0815,73,83.9,4.85,0.08,1.2,6.666666667,0,46.66666667,0,0,0,5.333333333,25.33333333
25,Thames,1.9205338,51.373101,1.344967278,1.564527038,2.207851275,1.381840432,34.601,10.9429,70,78.6,3.3,0.07,0.47,20.8,0,31.2,0,0.8,0.8,4.8,37.6
23,Thames,1.7132808,51.2887853,1.151310176,1.777060951,2.430608611,1.173688016,34.442,10.9073,71,75.9,1.92,0.15,0.31,10.66666667,0,12.64069264,0.484848485,0,0,2.181818182,428.1212121
22,Thames,1.5436162,51.404856,0.9667456,1.940174279,2.563960941,1.155695479,34.216,10.5928,68,75.2,3.37,0.2,0.36,23.27272727,0,32.41558442,0,0,8.727272727,17.45454545,526.5454545
26,Thames,1.6536178,51.5009698,1.071993862,1.830547045,2.435619478,1.297622957,34.335,10.397,62,58.3,3.15,0.19,0.63,8.533333333,0,21.02857143,1.066666667,0,1.066666667,4.266666667,290.1333333
27,Thames,1.4180745,51.6655657,0.852561518,2.076881427,2.640803493,1.324120851,34.209,11.0082,66,64.9,4.04,0.15,0.22,21.71428571,0,32.68571429,0,0,4.571428571,5.714285714,171.4285714
28,Thames,1.1588122,51.554325,0.579682628,2.32704496,2.913081181,1.1356337,34.252,11.3155,67,115.4,5.35,0.2,0.33,36,0,24.76190476,0,0,58,2,372.6666667
29,Thames,1.3050065,51.7349302,0.760388106,2.197381363,2.745453904,1.34923513,33.887,10.9439,73,77.7,5.17,0.2,1.42,2.909090909,0,15.51515152,0,2.909090909,0,2.909090909,148.3636364
30,Thames,1.60443,51.8797748,1.090825876,1.928274338,2.436201515,1.597063143,33.58,10.3156,74,88.6,5.06,0.16,2.9,5.333333333,0,5.714285714,0,0,3.555555556,3.555555556,82.66666667
31,Thames,1.8756415,51.7503225,1.317892113,1.636201684,2.176351028,1.63016891,34.201,10.4289,76,72.6,6.45,0.15,0.61,1.066666667,0,11.86666667,0.177777778,0,3.022222222,4.088888889,134.5777778
32,Channel,2.2556155,51.568024,1.67534854,1.233752916,1.833543333,1.763194888,34.727,11.0432,85,62,8.58,0.02,0.74,4.307692308,0,15.28205128,0,3.076923077,11.07692308,0,24
33,Channel,2.555508,51.8011277,1.996629995,0.993376494,1.495387006,2.142924351,34.906,10.8579,88,76,7.71,0.02,0.62,0.8,0,10.88,0.8,1.6,52.8,0.8,17.6
35,Meuse,3.0144368,51.916892,2.468171824,0.664337231,1.026576834,2.579906432,34.854,10.9619,83,83.7,7.32,0.04,2.77,1.066666667,0,17.21904762,0,2.133333333,388.2666667,0,0
36,Meuse,3.3638393,52.0526958,2.836463489,0.618069837,0.675958419,2.945852314,34.587,10.7698,80,88.7,6.66,0.03,0.8,0,0,47.42857143,0,8,550.8571429,0,11.42857143
39,Meuse,3.415839,51.8741473,3.110451081,0.583526177,0.386873073,3.166978601,33.15,11.1106,75,63.7,5.86,0.04,0.26,19.42857143,6.857142857,95.80952381,0,2.285714286,405.7142857,0,101.7142857
40,Meuse,3.1481457,51.7612442,3.216014985,0.479205411,0.31189184,3.198485826,34.26,11.1785,82,73.4,3.96,0.02,0.89,0,22.4,70,1.6,3.2,486.4,0,19.2
41,Meuse,3.4026963,51.5997598,2.85872485,0.433150475,0.634341693,2.897860641,33.139,11.482,84,6.9,3.38,0.04,1.01,592,8,330.2857143,16,8,408,0,3576
42,Meuse,3.290775,51.5112273,2.57972206,0.459952965,0.920874694,2.609442451,32.951,11.6123,85,16.4,3.62,0.03,1.03,872,4,379.2,0,4,312,0,3360
34,Scheldt,3.0084202,51.5884205,2.822814269,0.173371498,0.750286014,2.76142509,33.199,11.5629,87,44.1,5.47,0.03,1.08,27.33333333,45.33333333,131.8095238,0,2.666666667,14.66666667,0.666666667,872
43,Scheldt,3.05608,51.4714032,2.70917182,0.203226999,0.892297149,2.623031289,32.402,11.9878,84,60.8,5.66,0.08,3.64,141.6,0,350.8,2.4,0.8,40,0,864.8
44,Channel,2.8104477,51.4340347,2.42838448,0.495739341,1.108288111,2.403121196,32.447,11.7491,93,94.2,5.16,0.06,4.52,92.16,0,183.5885714,0,5.12,38.4,0,5501.44
1,Scheldt,2.9050207,51.270728,2.474628315,0.428005393,1.114602809,2.39299178,31.317,12.157,96,117.7,5.3,0.17,5.26,224,0,925.7142857,0,4.571428571,107.4285714,0,7220.571429
